Product,Old Target,New Target,Target Change,Old Revenue,New Revenue,Revenue Change,Old Freq Below,New Freq Below,Old Freq Above,New Freq Above,Old Margin,New Margin,Margin Change,Improved
Awesome Cotton Keyboard,2695,1494,-1201,3146,3146,0,1,0,0,1,-2244,158,2402,YES
Awesome Silk Wallet,3094,1900,-1194,4002,4002,0,1,0,0,1,-2186,202,2388,YES
Aerodynamic Marble Knife,2765,1575,-1190,3316,3316,0,1,0,0,1,-2214,166,2380,YES
Fantastic Copper Pants,2268,1674,-594,7052,7052,0,2,1,0,1,-2020,356,2376,YES
Fantastic Granite Pants,1740,1147,-593,4684,4684,0,1,0,0,1,-2276,96,2372,YES
Incredible Linen Clock,2231,1763,-468,9280,9280,0,1,0,0,1,-1875,465,2340,YES
Awesome Leather Chair,1806,1224,-582,5156,5156,0,1,0,0,1,-2068,260,2328,YES
Synergistic Steel Pants,2236,1657,-579,6980,6980,0,1,0,0,1,-1964,352,2316,YES
Lightweight Marble Car,2255,1490,-765,4707,4707,0,1,0,0,1,-2058,237,2295,YES
Mediocre Linen Car,2005,1852,-153,29258,29258,0,3,2,1,2,-817,1478,2295,YES
Incredible Concrete Computer,2635,1871,-764,5910,5910,0,1,0,0,1,-1995,297,2292,YES
Mediocre Leather Hat,1608,1151,-457,6060,6060,0,1,0,0,1,-1980,305,2285,YES
Sleek Marble Clock,1994,1540,-454,8113,8113,0,2,0,0,2,-1857,413,2270,YES
Synergistic Wooden Knife,2408,1954,-454,10285,10285,0,1,0,0,1,-1755,515,2270,YES
Incredible Concrete Shoes,2222,1939,-283,16343,16343,0,3,1,0,2,-1433,831,2264,YES
Small Copper Car,1771,1211,-560,4935,4935,0,2,0,0,2,-2149,91,2240,YES
Awesome Aluminum Plate,2885,2437,-448,12830,12830,0,1,0,0,1,-1595,645,2240,YES
Sleek Aluminum Computer,2433,1693,-740,5349,5349,0,1,0,0,1,-1950,270,2220,YES
Intelligent Wool Bench,2391,1837,-554,7736,7736,0,1,0,0,1,-1828,388,2216,YES
Aerodynamic Steel Plate,2799,2359,-440,12420,12420,0,1,0,0,1,-1575,625,2200,YES
Ergonomic Rubber Computer,2368,1638,-730,5175,5175,0,1,0,0,1,-1929,261,2190,YES
Aerodynamic Leather Pants,3278,2186,-1092,4604,4604,0,1,0,0,1,-1952,232,2184,YES
Incredible Silk Chair,2281,1190,-1091,2506,2506,0,1,0,0,1,-2056,126,2182,YES
Enormous Plastic Wallet,1799,1527,-272,12867,12867,0,3,1,0,2,-1525,651,2176,YES
Synergistic Silk Wallet,2654,2223,-431,11701,11701,0,2,1,0,1,-1569,586,2155,YES
Enormous Leather Knife,2215,1138,-1077,2396,2396,0,1,0,0,1,-2034,120,2154,YES
Enormous Steel Coat,2782,1709,-1073,3598,3598,0,1,0,0,1,-1966,180,2146,YES
Gorgeous Copper Coat,2377,1663,-714,5253,5253,0,1,0,0,1,-1878,264,2142,YES
Small Wooden Clock,2079,1365,-714,4311,4311,0,1,0,0,1,-1926,216,2142,YES
Enormous Copper Computer,1910,1375,-535,5778,5778,0,2,0,0,2,-1862,278,2140,YES
Fantastic Leather Hat,2502,2075,-427,10925,10925,0,2,1,0,1,-1585,550,2135,YES
Intelligent Aluminum Bag,2239,1812,-427,9540,9540,0,1,0,0,1,-1655,480,2135,YES
Sleek Granite Computer,1983,1633,-350,10319,10319,0,2,1,0,1,-1579,521,2100,YES
Gorgeous Bronze Coat,2103,1578,-525,6648,6648,0,1,0,0,1,-1764,336,2100,YES
Enormous Concrete Clock,2102,1580,-522,6656,6656,0,1,0,0,1,-1752,336,2088,YES
Intelligent Steel Knife,1617,1202,-415,6330,6330,0,1,0,0,1,-1755,320,2075,YES
Incredible Linen Table,2844,1807,-1037,3806,3806,0,1,0,0,1,-1882,192,2074,YES
Incredible Leather Chair,2804,2117,-687,6687,6687,0,1,0,0,1,-1725,336,2061,YES
Rustic Copper Hat,2532,2123,-409,11175,11175,0,1,0,0,1,-1485,560,2045,YES
Awesome Wool Chair,2774,2097,-677,6624,6624,0,1,0,0,1,-1698,333,2031,YES
Intelligent Steel Keyboard,2885,2217,-668,7002,7002,0,1,0,0,1,-1653,351,2004,YES
Fantastic Copper Table,2334,1936,-398,10191,10191,0,3,1,0,2,-1479,511,1990,YES
Aerodynamic Cotton Bottle,2818,2156,-662,6812,6812,0,2,1,0,1,-1642,344,1986,YES
Awesome Leather Bench,2544,2147,-397,11300,11300,0,2,1,0,1,-1420,565,1985,YES
Sleek Linen Chair,3026,2037,-989,4290,4290,0,1,0,0,1,-1762,216,1978,YES
Incredible Silk Wallet,2369,1385,-984,2916,2916,0,1,0,0,1,-1822,146,1968,YES
Durable Leather Bottle,2744,2252,-492,9484,9484,0,1,0,0,1,-1492,476,1968,YES
Rustic Aluminum Pants,3315,2332,-983,4910,4910,0,1,0,0,1,-1720,246,1966,YES
Sleek Marble Clock,2423,1932,-491,8139,8139,0,2,0,0,2,-1553,411,1964,YES
Heavy Duty Concrete Shoes,2603,1950,-653,6159,6159,0,1,0,0,1,-1650,309,1959,YES
Practical Silk Table,2423,2097,-326,13252,13252,0,2,0,0,2,-1286,670,1956,YES
Fantastic Concrete Bottle,2277,1888,-389,9943,9943,0,2,0,0,2,-1442,503,1945,YES
Rustic Linen Plate,3215,2243,-972,4724,4724,0,1,0,0,1,-1706,238,1944,YES
Synergistic Steel Bag,2636,2249,-387,11840,11840,0,1,0,0,1,-1340,595,1935,YES
Heavy Duty Granite Plate,3387,2420,-967,5096,5096,0,1,0,0,1,-1678,256,1934,YES
Lightweight Iron Watch,2649,2006,-643,6336,6336,0,1,0,0,1,-1611,318,1929,YES
Lightweight Silk Knife,2557,1593,-964,3354,3354,0,1,0,0,1,-1760,168,1928,YES
Sleek Bronze Shoes,2887,2502,-385,13170,13170,0,1,0,0,1,-1265,660,1925,YES
Small Leather Clock,2832,2352,-480,9904,9904,0,1,0,0,1,-1424,496,1920,YES
Mediocre Iron Lamp,2607,1969,-638,6219,6219,0,1,0,0,1,-1602,312,1914,YES
Lightweight Cotton Gloves,2813,2335,-478,9832,9832,0,1,0,0,1,-1420,492,1912,YES
Sleek Leather Coat,1693,1221,-472,5144,5144,0,2,1,0,1,-1628,260,1888,YES
Rustic Cotton Coat,2487,2110,-377,11110,11110,0,1,0,0,1,-1325,560,1885,YES
Gorgeous Paper Table,2393,1923,-470,8103,8103,0,2,0,0,2,-1469,411,1880,YES
Durable Paper Clock,2688,2313,-375,12175,12175,0,1,0,0,1,-1265,610,1875,YES
Aerodynamic Plastic Watch,3202,2268,-934,4776,4776,0,1,0,0,1,-1628,240,1868,YES
Rustic Granite Table,1980,1669,-311,10544,10544,0,2,0,0,2,-1336,530,1866,YES
Heavy Duty Rubber Shoes,3041,2113,-928,4450,4450,0,1,0,0,1,-1632,224,1856,YES
Incredible Silk Wallet,1599,1334,-265,9841,9841,0,2,0,0,2,-1352,503,1855,YES
Small Wool Clock,2300,1685,-615,5322,5322,0,1,0,0,1,-1578,267,1845,YES
Awesome Cotton Coat,2464,2004,-460,8440,8440,0,1,0,0,1,-1416,424,1840,YES
Fantastic Silk Bottle,1930,1471,-459,6196,6196,0,1,0,0,1,-1524,312,1836,YES
Intelligent Granite Keyboard,2003,1546,-457,6512,6512,0,1,0,0,1,-1500,328,1828,YES
Intelligent Silk Bench,2321,1717,-604,5424,5424,0,1,0,0,1,-1539,273,1812,YES
Ergonomic Silk Bench,3153,2791,-362,14690,14690,0,1,0,0,1,-1075,735,1810,YES
Incredible Bronze Lamp,2478,1575,-903,3264,3264,0,1,0,0,1,-1692,114,1806,YES
Rustic Concrete Shoes,2167,1866,-301,11791,11791,0,2,1,0,1,-1211,595,1806,YES
Practical Granite Plate,1587,1387,-200,13140,13140,0,3,1,0,2,-1143,657,1800,YES
Intelligent Concrete Computer,2477,1877,-600,5928,5928,0,1,0,0,1,-1503,297,1800,YES
Gorgeous Leather Chair,2992,2394,-598,7563,7563,0,1,0,0,1,-1413,381,1794,YES
Awesome Marble Shoes,2895,2757,-138,37748,37748,0,3,2,1,2,113,1907,1794,YES
Awesome Marble Clock,2112,1814,-298,11465,11465,0,2,1,0,1,-1207,581,1788,YES
Intelligent Leather Gloves,2556,1962,-594,6198,6198,0,1,0,0,1,-1470,312,1782,YES
Intelligent Bronze Bench,2009,1654,-355,8713,8713,0,2,1,0,1,-1332,443,1775,YES
Ergonomic Rubber Keyboard,3007,2652,-355,13960,13960,0,1,0,0,1,-1075,700,1775,YES
Fantastic Steel Coat,2868,2425,-443,10213,10213,0,2,1,0,1,-1259,513,1772,YES
Enormous Wool Keyboard,2603,1717,-886,3616,3616,0,1,0,0,1,-1590,182,1772,YES
Rustic Plastic Shirt,2348,2095,-253,15443,15443,0,2,1,0,1,-993,778,1771,YES
Ergonomic Wooden Wallet,2342,1468,-874,3092,3092,0,1,0,0,1,-1592,156,1748,YES
Heavy Duty Cotton Knife,2676,2108,-568,6657,6657,0,1,0,0,1,-1371,333,1704,YES
Fantastic Copper Shoes,2602,2180,-422,9180,9180,0,1,0,0,1,-1228,460,1688,YES
Fantastic Silk Chair,2424,1862,-562,5883,5883,0,1,0,0,1,-1389,297,1686,YES
Lightweight Concrete Chair,2614,2054,-560,6489,6489,0,1,0,0,1,-1353,327,1680,YES
Sleek Wooden Computer,2047,1711,-336,9010,9010,0,1,0,0,1,-1225,455,1680,YES
Sleek Rubber Gloves,2474,2139,-335,11260,11260,0,1,0,0,1,-1110,565,1675,YES
Synergistic Wool Shoes,2148,1731,-417,7292,7292,0,1,0,0,1,-1300,368,1668,YES
Awesome Concrete Plate,2766,1934,-832,4072,4072,0,1,0,0,1,-1460,204,1664,YES
Heavy Duty Wool Plate,2651,2500,-151,28952,28952,0,3,2,1,2,-209,1452,1661,YES
Intelligent Silk Knife,1949,1402,-547,4428,4428,0,1,0,0,1,-1419,222,1641,YES
Intelligent Wooden Gloves,2453,1633,-820,3438,3438,0,1,0,0,1,-1468,172,1640,YES
Awesome Linen Computer,2988,2443,-545,7716,7716,0,1,0,0,1,-1248,387,1635,YES
Synergistic Cotton Computer,2540,2269,-271,14336,14336,0,2,0,0,2,-904,722,1626,YES
Rustic Concrete Bag,3121,2580,-541,8148,8148,0,1,0,0,1,-1215,408,1623,YES
Sleek Granite Car,2804,2399,-405,10104,10104,0,1,0,0,1,-1112,508,1620,YES
Synergistic Wool Shoes,2431,1621,-810,3294,3294,0,1,0,0,1,-1568,52,1620,YES
Practical Wooden Computer,2602,2197,-405,9252,9252,0,1,0,0,1,-1156,464,1620,YES
Gorgeous Concrete Gloves,2392,1992,-400,8388,8388,0,1,0,0,1,-1180,420,1600,YES
Ergonomic Plastic Bench,2353,1823,-530,5757,5757,0,1,0,0,1,-1302,288,1590,YES
Mediocre Leather Clock,2957,2427,-530,7665,7665,0,1,0,0,1,-1206,384,1590,YES
Rustic Granite Table,3208,2680,-528,8466,8466,0,1,0,0,1,-1158,426,1584,YES
Synergistic Leather Bag,2777,2250,-527,7107,7107,0,1,0,0,1,-1224,357,1581,YES
Durable Rubber Bench,3262,2869,-393,12080,12080,0,1,0,0,1,-968,604,1572,YES
Synergistic Concrete Lamp,2517,2387,-130,30158,30158,0,3,2,1,2,-46,1514,1560,YES
Awesome Silk Computer,2451,2063,-388,8688,8688,0,1,0,0,1,-1116,436,1552,YES
Sleek Copper Shirt,2524,2136,-388,8997,8997,0,3,0,0,3,-1099,453,1552,YES
Mediocre Marble Bag,2178,1662,-516,5250,5250,0,1,0,0,1,-1284,264,1548,YES
Awesome Iron Bag,2009,1701,-308,8955,8955,0,1,0,0,1,-1090,450,1540,YES
Sleek Granite Gloves,2445,1676,-769,3352,3352,0,1,0,0,0,-1538,0,1538,YES
Enormous Rubber Coat,1833,1064,-769,2240,2240,0,1,0,0,1,-1426,112,1538,YES
Sleek Iron Wallet,1893,1130,-763,2380,2380,0,1,0,0,1,-1406,120,1526,YES
Practical Wool Lamp,2638,2133,-505,6738,6738,0,1,0,0,1,-1176,339,1515,YES
Lightweight Copper Shirt,2178,1876,-302,9875,9875,0,1,0,0,1,-1015,495,1510,YES
Synergistic Wooden Car,2282,1905,-377,8024,8024,0,1,0,0,1,-1104,404,1508,YES
Lightweight Steel Car,2685,2311,-374,9732,9732,0,1,0,0,1,-1008,488,1496,YES
Mediocre Paper Bag,2756,2457,-299,12935,12935,0,1,0,0,1,-845,650,1495,YES
Practical Silk Shirt,2590,1843,-747,3882,3882,0,1,0,0,1,-1298,196,1494,YES
Rustic Paper Watch,2001,1505,-496,4755,4755,0,1,0,0,1,-1248,240,1488,YES
Heavy Duty Paper Pants,2267,2055,-212,15149,15149,0,2,0,0,2,-720,764,1484,YES
Ergonomic Concrete Shirt,1640,1149,-491,3631,3631,0,2,0,0,2,-1289,184,1473,YES
Fantastic Steel Plate,2186,1896,-290,9980,9980,0,1,0,0,1,-950,500,1450,YES
Mediocre Marble Hat,2079,1599,-480,5052,5052,0,1,0,0,1,-1185,255,1440,YES
Aerodynamic Paper Keyboard,2094,1737,-357,7316,7316,0,1,0,0,1,-1060,368,1428,YES
Durable Rubber Bottle,2343,1867,-476,5898,5898,0,1,0,0,1,-1131,297,1428,YES
Small Paper Hat,2516,1802,-714,3794,3794,0,1,0,0,1,-1238,190,1428,YES
Enormous Steel Keyboard,2921,2210,-711,4654,4654,0,1,0,0,1,-1188,234,1422,YES
Fantastic Granite Computer,2213,1504,-709,3168,3168,0,1,0,0,1,-1258,160,1418,YES
Small Wooden Bag,1687,1485,-202,10948,10948,0,2,0,0,2,-861,553,1414,YES
Heavy Duty Silk Knife,2957,2250,-707,4738,4738,0,1,0,0,1,-1176,238,1414,YES
Durable Silk Bench,3251,2545,-706,5358,5358,0,1,0,0,1,-1144,268,1412,YES
Fantastic Wooden Gloves,2106,1637,-469,5172,5172,0,1,0,0,1,-1146,261,1407,YES
Synergistic Marble Clock,2308,1606,-702,3382,3382,0,1,0,0,1,-1234,170,1404,YES
Sleek Silk Knife,2046,1813,-233,11457,11457,0,2,1,0,1,-819,579,1398,YES
Heavy Duty Steel Gloves,2683,2405,-278,12663,12663,0,3,1,0,2,-752,638,1390,YES
Awesome Bronze Car,1850,1505,-345,6340,6340,0,1,0,0,1,-1060,320,1380,YES
Lightweight Paper Bag,1830,1374,-456,4341,4341,0,1,0,0,1,-1149,219,1368,YES
Fantastic Iron Computer,2353,1898,-455,5994,5994,0,1,0,0,1,-1065,300,1365,YES
Gorgeous Paper Knife,3076,2625,-451,8292,8292,0,1,0,0,1,-936,417,1353,YES
Fantastic Copper Bag,2439,1988,-451,6279,6279,0,1,0,0,1,-1038,315,1353,YES
Small Concrete Shoes,2379,2041,-338,8596,8596,0,1,0,0,1,-920,432,1352,YES
Incredible Copper Wallet,2123,1853,-270,9755,9755,0,1,0,0,1,-860,490,1350,YES
Practical Silk Chair,2446,1772,-674,3733,3733,0,2,0,0,2,-1159,189,1348,YES
Fantastic Cotton Knife,2168,1501,-667,3160,3160,0,1,0,0,1,-1176,158,1334,YES
Mediocre Plastic Wallet,2348,1694,-654,3492,3492,0,1,0,0,1,-1204,104,1308,YES
Fantastic Copper Knife,2194,1762,-432,5567,5567,0,2,0,0,2,-1015,281,1296,YES
Fantastic Linen Bag,2547,2224,-323,9368,9368,0,1,0,0,1,-820,472,1292,YES
Rustic Plastic Watch,3340,2695,-645,5674,5674,0,1,0,0,1,-1006,284,1290,YES
Awesome Silk Bag,2159,1944,-215,12286,12286,0,2,0,0,2,-668,622,1290,YES
Gorgeous Leather Table,2610,2183,-427,6894,6894,0,1,0,0,1,-936,345,1281,YES
Small Wooden Bag,2551,2128,-423,6720,6720,0,1,0,0,1,-933,336,1269,YES
Ergonomic Steel Plate,2300,1666,-634,3368,3368,0,1,0,0,1,-1232,36,1268,YES
Rustic Plastic Computer,2324,2071,-253,10900,10900,0,1,0,0,1,-720,545,1265,YES
Aerodynamic Silk Wallet,2928,1665,-1263,1753,1753,0,1,0,0,1,-1175,88,1263,YES
Gorgeous Plastic Bottle,2586,1956,-630,4118,4118,0,1,0,0,1,-1054,206,1260,YES
Lightweight Steel Shoes,2364,2113,-251,11127,11127,0,2,1,0,1,-693,562,1255,YES
Rustic Concrete Lamp,2773,2146,-627,4518,4518,0,1,0,0,1,-1028,226,1254,YES
Awesome Wool Hat,2441,1197,-1244,1261,1261,0,1,0,0,1,-1180,64,1244,YES
Fantastic Silk Clock,2572,1950,-622,4106,4106,0,1,0,0,1,-1038,206,1244,YES
Intelligent Leather Coat,2629,2008,-621,4228,4228,0,1,0,0,1,-1030,212,1242,YES
Sleek Wooden Hat,2352,1735,-617,3654,3654,0,1,0,0,1,-1050,184,1234,YES
Aerodynamic Bronze Knife,2797,2181,-616,4592,4592,0,1,0,0,1,-1002,230,1232,YES
Lightweight Plastic Chair,2246,1939,-307,8171,8171,0,2,0,0,2,-813,415,1228,YES
Rustic Marble Bench,2056,1648,-408,5205,5205,0,2,1,0,1,-963,261,1224,YES
Enormous Marble Hat,2135,1932,-203,12205,12205,0,2,0,0,2,-605,613,1218,YES
Practical Bronze Table,2455,2050,-405,6474,6474,0,1,0,0,1,-891,324,1215,YES
Synergistic Steel Bag,3194,2893,-301,12184,12184,0,1,0,0,1,-592,612,1204,YES
Aerodynamic Linen Watch,2703,1499,-1204,1578,1578,0,1,0,0,1,-1125,79,1204,YES
Heavy Duty Wool Table,3142,2745,-397,8670,8670,0,1,0,0,1,-756,435,1191,YES
Small Cotton Table,2984,2389,-595,5030,5030,0,1,0,0,1,-938,252,1190,YES
Aerodynamic Aluminum Shoes,2487,2249,-238,11840,11840,0,1,0,0,1,-595,595,1190,YES
Synergistic Wooden Pants,2722,2132,-590,4490,4490,0,1,0,0,1,-954,226,1180,YES
Aerodynamic Leather Computer,3199,2905,-294,12232,12232,0,1,0,0,1,-564,612,1176,YES
Mediocre Steel Knife,2144,1909,-235,10050,10050,0,1,0,0,1,-670,505,1175,YES
Awesome Marble Car,2634,1464,-1170,1542,1542,0,1,0,0,1,-1092,78,1170,YES
Aerodynamic Wool Keyboard,2196,1907,-289,8032,8032,0,1,0,0,1,-752,404,1156,YES
Small Copper Bottle,2854,1706,-1148,1796,1796,0,1,0,0,1,-1058,90,1148,YES
Rustic Wool Pants,2181,1610,-571,3390,3390,0,1,0,0,1,-972,170,1142,YES
Mediocre Marble Bottle,3136,2568,-568,5408,5408,0,1,0,0,1,-864,272,1136,YES
Ergonomic Granite Watch,2192,1624,-568,3420,3420,0,1,0,0,1,-964,172,1136,YES
Small Plastic Chair,2476,1341,-1135,1412,1412,0,1,0,0,1,-1064,71,1135,YES
Heavy Duty Cotton Watch,3360,3078,-282,12960,12960,0,1,0,0,1,-480,648,1128,YES
Awesome Granite Plate,2450,2225,-225,11715,11715,0,1,0,0,1,-535,590,1125,YES
Synergistic Wooden Gloves,2658,2283,-375,7212,7212,0,1,0,0,1,-762,363,1125,YES
Lightweight Wool Gloves,2315,2039,-276,8588,8588,0,1,0,0,1,-672,432,1104,YES
Mediocre Steel Bag,2699,1598,-1101,1617,1617,0,1,0,0,1,-1082,19,1101,YES
Practical Aluminum Table,2452,2177,-275,9168,9168,0,1,0,0,1,-640,460,1100,YES
Mediocre Wooden Bench,1826,1278,-548,2562,2562,0,1,0,0,1,-1090,6,1096,YES
Synergistic Wool Pants,3008,1919,-1089,2021,2021,0,1,0,0,1,-987,102,1089,YES
Awesome Copper Clock,2862,2318,-544,4882,4882,0,1,0,0,1,-842,246,1088,YES
Gorgeous Silk Computer,2753,2211,-542,4656,4656,0,1,0,0,1,-850,234,1084,YES
Gorgeous Iron Car,2867,2326,-541,4898,4898,0,1,0,0,1,-836,246,1082,YES
Rustic Cotton Car,2387,1312,-1075,1382,1382,0,1,0,0,1,-1005,70,1075,YES
Ergonomic Plastic Hat,2212,1997,-215,10516,10516,0,2,0,0,2,-544,531,1075,YES
Lightweight Steel Clock,2333,1263,-1070,1330,1330,0,1,0,0,1,-1003,67,1070,YES
Intelligent Linen Plate,2303,1771,-532,3730,3730,0,1,0,0,1,-876,188,1064,YES
Intelligent Concrete Coat,2667,1610,-1057,1616,1616,0,1,0,0,1,-1051,6,1057,YES
Small Marble Bag,2797,2271,-526,4782,4782,0,1,0,0,1,-812,240,1052,YES
Gorgeous Cotton Computer,2628,2365,-263,9960,9960,0,1,0,0,1,-552,500,1052,YES
Aerodynamic Rubber Shoes,3328,2283,-1045,2404,2404,0,1,0,0,1,-924,121,1045,YES
Gorgeous Cotton Table,2660,2144,-516,4514,4514,0,1,0,0,1,-806,226,1032,YES
Small Rubber Bench,2991,2648,-343,8364,8364,0,1,0,0,1,-609,420,1029,YES
Incredible Wool Lamp,2578,2066,-512,4350,4350,0,1,0,0,1,-806,218,1024,YES
Aerodynamic Rubber Plate,3120,2119,-1001,2231,2231,0,1,0,0,1,-889,112,1001,YES
Incredible Granite Shoes,2215,1966,-249,8280,8280,0,1,0,0,1,-580,416,996,YES
Sleek Concrete Keyboard,2736,2537,-199,13355,13355,0,1,0,0,1,-325,670,995,YES
Gorgeous Leather Plate,2943,2744,-199,14448,14448,0,2,1,0,1,-267,728,995,YES
Rustic Iron Bench,2765,2435,-330,7692,7692,0,1,0,0,1,-603,387,990,YES
Heavy Duty Iron Shoes,2054,1065,-989,1122,1122,0,1,0,0,1,-932,57,989,YES
Aerodynamic Wooden Lamp,1955,1465,-490,3086,3086,0,1,0,0,1,-824,156,980,YES
Durable Bronze Table,2533,2207,-326,6972,6972,0,1,0,0,1,-627,351,978,YES
Mediocre Bronze Computer,2627,1653,-974,1740,1740,0,1,0,0,1,-887,87,974,YES
Durable Linen Watch,2822,2726,-96,28704,28704,0,3,2,1,2,484,1444,960,YES
Awesome Cotton Bag,1774,1296,-478,2730,2730,0,1,0,0,1,-818,138,956,YES
Lightweight Steel Lamp,3296,2343,-953,2467,2467,0,1,0,0,1,-829,124,953,YES
Small Rubber Bag,2463,1987,-476,4184,4184,0,1,0,0,1,-742,210,952,YES
Durable Paper Gloves,3320,3083,-237,12984,12984,0,1,0,0,1,-296,652,948,YES
Ergonomic Concrete Shirt,1793,1320,-473,2780,2780,0,1,0,0,1,-806,140,946,YES
Sleek Paper Chair,2521,2287,-234,9632,9632,0,1,0,0,1,-452,484,936,YES
Intelligent Leather Pants,1989,1056,-933,1057,1057,0,1,0,0,1,-932,1,933,YES
Enormous Linen Car,2714,2403,-311,7590,7590,0,1,0,0,1,-552,381,933,YES
Sleek Marble Keyboard,1834,1368,-466,2880,2880,0,1,0,0,1,-788,144,932,YES
Heavy Duty Steel Wallet,2323,2207,-116,18599,18599,0,3,2,1,2,15,943,928,YES
Fantastic Silk Chair,3174,2712,-462,5710,5710,0,1,0,0,1,-638,286,924,YES
Ergonomic Bronze Pants,2501,2194,-307,6931,6931,0,2,1,0,1,-572,349,921,YES
Heavy Duty Iron Keyboard,1810,1503,-307,4749,4749,0,1,0,0,1,-681,240,921,YES
Rustic Concrete Clock,2280,1365,-915,1437,1437,0,1,0,0,1,-843,72,915,YES
Sleek Paper Chair,2876,1964,-912,1984,1984,0,1,0,0,1,-892,20,912,YES
Fantastic Iron Table,2072,1890,-182,9950,9950,0,1,0,0,1,-410,500,910,YES
Gorgeous Rubber Table,1733,1507,-226,6348,6348,0,1,0,0,1,-584,320,904,YES
Intelligent Paper Coat,2337,1885,-452,3971,3971,0,2,1,0,1,-703,201,904,YES
Heavy Duty Bronze Plate,2750,2299,-451,4843,4843,0,2,1,0,1,-657,245,902,YES
Mediocre Rubber Table,2621,2396,-225,10092,10092,0,1,0,0,1,-392,508,900,YES
Lightweight Rubber Wallet,2275,1979,-296,6252,6252,0,1,0,0,1,-573,315,888,YES
Lightweight Silk Watch,1961,1087,-874,1145,1145,0,1,0,0,1,-816,58,874,YES
Durable Leather Shoes,1623,1332,-291,4209,4209,0,1,0,0,1,-660,213,873,YES
Synergistic Concrete Gloves,2575,2357,-218,9928,9928,0,1,0,0,1,-372,500,872,YES
Durable Leather Keyboard,1553,1379,-174,7260,7260,0,1,0,0,1,-505,365,870,YES
Rustic Rubber Bench,2291,2004,-287,6330,6330,0,1,0,0,1,-543,318,861,YES
Sleek Plastic Clock,1925,1711,-214,7208,7208,0,1,0,0,1,-492,364,856,YES
Lightweight Rubber Knife,2059,1632,-427,3437,3437,0,2,0,0,2,-681,173,854,YES
Awesome Rubber Plate,2478,2266,-212,9544,9544,0,1,0,0,1,-368,480,848,YES
Small Aluminum Shirt,2643,2432,-211,10240,10240,0,1,0,0,1,-332,512,844,YES
Practical Steel Coat,1604,1189,-415,2504,2504,0,1,0,0,1,-704,126,830,YES
Mediocre Paper Gloves,2474,2062,-412,4342,4342,0,1,0,0,1,-606,218,824,YES
Lightweight Plastic Plate,2610,1789,-821,1803,1803,0,1,0,0,1,-807,14,821,YES
Gorgeous Silk Chair,2863,2453,-410,5166,5166,0,1,0,0,1,-560,260,820,YES
Fantastic Silk Gloves,2728,1910,-818,2011,2011,0,1,0,0,1,-717,101,818,YES
Incredible Paper Plate,2165,1355,-810,1427,1427,0,1,0,0,1,-738,72,810,YES
Fantastic Iron Shirt,1887,1685,-202,7096,7096,0,1,0,0,1,-452,356,808,YES
Incredible Iron Hat,2136,1337,-799,1408,1408,0,1,0,0,1,-728,71,799,YES
Aerodynamic Cotton Bottle,2383,2226,-157,11720,11720,0,1,0,0,1,-195,590,785,YES
Heavy Duty Wool Clock,2348,2193,-155,11545,11545,0,1,0,0,1,-195,580,775,YES
Small Marble Hat,2065,1678,-387,3534,3534,0,1,0,0,1,-596,178,774,YES
Awesome Wooden Hat,2870,2104,-766,2215,2215,0,1,0,0,1,-655,111,766,YES
Sleek Iron Bottle,2657,2276,-381,4792,4792,0,1,0,0,1,-522,240,762,YES
Ergonomic Steel Pants,2921,2169,-752,2284,2284,0,1,0,0,1,-637,115,752,YES
Ergonomic Steel Car,2071,1697,-374,3574,3574,0,1,0,0,1,-568,180,748,YES
Small Paper Lamp,2394,2021,-373,4256,4256,0,1,0,0,1,-532,214,746,YES
Enormous Concrete Bag,1991,1743,-248,5505,5505,0,1,0,0,1,-468,276,744,YES
Ergonomic Wooden Computer,2528,1785,-743,1879,1879,0,1,0,0,1,-649,94,743,YES
Durable Steel Wallet,2762,2518,-244,7953,7953,0,1,0,0,1,-333,399,732,YES
Aerodynamic Leather Car,2945,2701,-244,8532,8532,0,1,0,0,1,-303,429,732,YES
Mediocre Linen Car,1951,1805,-146,9505,9505,0,1,0,0,1,-250,480,730,YES
Incredible Paper Pants,1805,1442,-363,3036,3036,0,1,0,0,1,-574,152,726,YES
Heavy Duty Granite Gloves,2935,2210,-725,2327,2327,0,1,0,0,1,-608,117,725,YES
Ergonomic Concrete Plate,2467,2106,-361,4434,4434,0,1,0,0,1,-500,222,722,YES
Lightweight Wooden Wallet,2497,2353,-144,12385,12385,0,1,0,0,1,-100,620,720,YES
Gorgeous Plastic Bench,2550,1835,-715,1932,1932,0,1,0,0,1,-618,97,715,YES
Intelligent Paper Chair,1906,1198,-708,1198,1198,0,1,0,0,0,-708,0,708,YES
Rustic Copper Knife,2009,1869,-140,9840,9840,0,1,0,0,1,-205,495,700,YES
Gorgeous Cotton Clock,3249,3074,-175,12944,12944,0,1,0,0,1,-52,648,700,YES
Practical Cotton Pants,2166,1819,-347,3830,3830,0,1,0,0,1,-502,192,694,YES
Ergonomic Marble Bottle,2573,2227,-346,4690,4690,0,1,0,0,1,-456,236,692,YES
Sleek Silk Bag,1640,1413,-227,4464,4464,0,1,0,0,1,-456,225,681,YES
Synergistic Aluminum Chair,2755,2417,-338,5090,5090,0,1,0,0,1,-420,256,676,YES
Lightweight Silk Hat,2334,2000,-334,4212,4212,0,1,0,0,1,-456,212,668,YES
